owner,project,sha,sha-p,year,language,cve_id,cwe_id,score,severity
pfsense,pfsense,002bc4ab3268e6e5cb3a01ce73a4c1624d09050a,d6a0379d291f5e98500776618559343f40254e40,2010,php,,CWE-77,,
nextcloud,server,0074062b5329c3d43679909fddce2d70608a4475,5c6a7172cafc395d38c58d1b5afd6b36efb33ad5,2012,php,,CWE-79,,
nextcloud,server,0241ddc759f7e2d2695c4626df5d2ac27b8b1d90,c2e2c59ca7aa873bd07de04ea701a8b351383aec,2014,php,,CWE-384,,
mantisbt,mantisbt,00b4c17088fa56594d85fe46b6c6057bb3421102,b72fdaeb7cb8786401faab520d43092c8bdb44aa,2014,php,CVE-2014-1608,CWE-89,7.5,HIGH
splitbrain,dokuwiki,02b0b681935185a1c4d2d64e76fe499f3d438d12,10ffc9dd6a89562ef502baa21f968cf269fe21b0,2006,php,,CWE-79,,
openstack,nova,034762e8060dcf0a11cb039b9d426b0d0bb1801d,b91d2fc02d927066ed0fe21439ccb7548de4138f,2012,py,CVE-2012-3371,CWE-20,3.5,LOW
php,php-src,03964892c054d0c736414c10b3edc7a40318b975,64043cb9e5d8bc5af719678893e38ee0290e0c0a,2015,c,,CWE-624,,
realm,realm-cocoa,04ca766cbbdec1ba417f90f038c9376170edbc12,8ceae74eb169a98676da084b7e1667d51c765bc2,2015,mm,,CWE-664,,
mattpass,ICEcoder,05de070294681745bdc5c54b336dd48083feb59e,f82914207dca4a4f36404ac371610421cfb52d93,2014,php,,CWE-98,,
apache,commons-compress,0600296ab8f8a0bbdfedd483f51b38005eb8e34e,fdd7459bc5470e90024dbe762249166481cce769,2012,java,CVE-2012-2098,CWE-310,5,MEDIUM
josh,rails,060c91cd59ab86583a8f2f52142960d3433f62f5,9340f89849606dba02f44038171f3837f883fd4e,2012,rb,CVE-2012-2660,CWE-264,6.4,MEDIUM
MISP,MISP,0614db919e0cb0f463354aedb4bd20f1a8d4cf0b,62a3da46f2aeb728544665c51bb39172df2196bd,2013,php,,CWE-668,,
libretro,RetroArch,062433491fb6d7f90e4eba03a3d8d943dd59de70,669599cfd7c2d316e9086d31e1ccaab5b5964adb,2017,c,,CWE-664,,
owncloud,core,068688063eb660d35ee0dca8d3ceb53d2f243bbe,f0da7b20c12c14e0fbd9cddfbe7c5c26d43e2607,2013,php,,CWE-384,,
MISP,MISP,0687d3f6f48247fbcb510c26e0966864a8fa9081,9cd1b0469d872a48afff17f5b2bfb9a6ad0ef8ee,2012,php,,CWE-89,,
joomla,joomla-cms,072e9bf0f2266885f40eb23d54da636280b9b088,f5bf6fbc15b4f2e1c30e2bf2d6eadfbaf654aff0,2007,php,,CWE-89,,
cakephp,cakephp,076b6f998c42613dd64206c0a1d0d4a6e2055efb,2c85da44da2c9bbf6fc4a52ba990660f554d320d,2014,php,,CWE-668,,
mattpass,ICEcoder,078068e2527747f5688997d5dc1293213de65bd1,69d8ddce7756802525bc07ac028b939e554a81ca,2014,php,,CWE-22,,
dlitz,pycrypto,0782d68840d0ebf850516e606e398b8a5396eb64,f49fd0e1b57071e52200806d095679753fe36e17,2013,py,,,,
curl,curl,0796a993171f627d546c42a8fb28e906528cc688,2497c42172307485fb60100474b68c1620041df5,2016,c,,CWE-401,,
php,php-src,082aecfc3a753ad03be82cf14f03ac065723ec92,d650063a0457aec56364e4005a636dc6c401f9cd,2016,c,CVE-2016-4542,CWE-119,7.5,HIGH
Pylons,pyramid,082d3b2cb9127f8acfd4d081e69c427a37bae91d,a6db36c984bd69f8a6aba80ad6db435cd4b1b93c,2016,py,,CWE-208,,
php,php-src,08b72ac9f12890793bc67446e4999892607bbf7b,c374b80dda6e07f7dbc1e43a095c075beee6ca5f,2013,c,,CWE-401,,
pfsense,pfsense,08cf5428d6fa7d080869574cee0f22e669b8db03,53aca1fdc3f7683efd90472ed7be78f793eb78bb,2008,php,,CWE-74,,
josh,rails,08d0a11a3f62718d601d39e617c834759cf59bbb,f706d5f945c5751072bb90d080aff154e6858435,2014,rb,CVE-2014-0081,CWE-79,4.3,MEDIUM
grails,grails-core,08d543b74810debda7a8adb5efed41057597ad5e,ba77c1be24538d86dc21aedd4d9e19373ed13ffc,2012,java,,,,
phpmyadmin,phpmyadmin,0933619b6b2534b221817ea3f631cb984c258d6b,b628fcc8a908d0fecf391cf2cc161691255dbbe6,2006,php,,CWE-79,,
edx,edx-platform,09e1f9ed71910341b1e806466d70308162dbb832,2ba5d483fc46cf60dba99fb1122d36268cac8ee5,2015,py,TNL-2248,CWE-79,,
openssl,openssl,09f06923e636019c39c807cb59c481375e720556,8106d61c354430d6bbbd7f8e7840a39efc0f5829,2015,c,CVE-2015-0208,NVD-CWE-Other,4.3,MEDIUM
rubinius,rubinius,0a0289086b6a9e5bf1ffb0c58dba3ff5a80800b9,3e134f200b26f68d6295dd809baee5e609065fd4,2011,rb,CVE-2011-1004,CWE-59,6.3,MEDIUM
vanilla,vanilla,0a22506c76ac419d390d5d1bde5ec5f48b195358,2e25c61a94796f5805a7eafbbc3660557db74839,2011,php,,CWE-79,,
postgres,postgres,0a73f69cb4842f46c1a080b3375b0f268ba1e5de,11cb598c397eaa18916c1a0f944f3ead05dab971,2003,java,,CWE-89,,
curl,curl,0aabfd99631a292a72ca601ed0e83786ce9f0ae4,14b77db1b97bb382ec97535666813dea26594bd0,2012,c,,CWE-401,,
mantisbt,mantisbt,0a636b37d3425aea7b781e7f25eaeb164ac54a3d,4b7492d43680729b4a0328eddc522560dd44514b,2011,php,CVE-2011-3358,CWE-79,4.3,MEDIUM
josh,rails,0b58a7ff420d7ef4b643c521a62be7259dd2f5cb,6b1018526fb304727ee4191afc2d8a5e29e49eea,2010,rb,CVE-2011-0448,CWE-89,7.5,HIGH
josh,rails,0c7ac34aed1845044cd1911e5a775366d7ca41c1,bea9c9b4c0f9bb7356ea2058118fe40495432010,2013,rb,CVE-2013-4491,CWE-79,4.3,MEDIUM
unbit,uwsgi,0cb2e6852bcee02484dea06b2c5e9c8f6cbb3138,a559e9ea631afa9331cba77d3f1634611a6aa4ab,2013,c,,CWE-402,,
php,php-src,0d1998e34ff487aab6451963d60697dd5b5b0115,2f0d084ab8228e1e5704a3fb66fb1c9cd6bd411e,2011,c,,,,
php,php-src,0d2f147d80bd02d4d1ccaa0fa530d9d4846b3c75,3e88d610e54dac75a374af9e8501f02da67e4466,2015,c,CVE-2015-3152,CWE-284,4.3,MEDIUM
Graylog2,graylog2-server,0daaecd63895bfa683656d14d8bd0c3fb42f6cfd,2d2e6f5e99fc5f830c19fe1724899acaded2ca02,2011,config_files,,CWE-928,,
curl,curl,0ddab51ad874b64e38e26840a916fc13f4d2ed7b,9798432f567f1589f1da6216e2795ab10b733128,2005,c,,CWE-122,,
